movie_name,year,tags
kisi ka bhai kisi ki jaan,2023,action comedi drama eldest brother refus marri sinc believ may creat disharmoni big famili brother whove alreadi found partner come togeth find match farhad samji salman khan pooja hegd venkatesh daggubati jagapathi babu
king of kotha,2023,action drama thriller crimeinfest town kannan bhai gang reign power combat reign seek reveng inspector shahul tact plot return king lead transform turn event abhilash joshiy dulquer salmaan aishwarya lekshmi soubin shahir ritika singh
ek tha tiger,2012,action adventur romanc india top spi tiger love zoya battl dark world intellig espionag forbid soldier love enemi mathur goswami kabir khan salman khan katrina kaif girish karnad roshan seth
hit: the first case,2022,action crime drama vikram 32yearold cop battl traumat past stake get high girl call preethi mysteri disappear hyderabad vikram solv case cost sailesh kolanu rajkummar rao sanya malhotra akhil iyer jatin goswami
singham again,2024,drama plot wrap rohit shetti kareena kapoor deepika padukon akshay kumar ranveer singh
the second best exotic marigold hotel,2015,comedi drama romanc best exot marigold hotel singl remain vacanc pose room predica two fresh arriv sonni kapoor dev patel pursu expansionist dream open second hotel john madden judi dench maggi smith bill nighi dev patel
dilwale dulhania le jayenge,1995,drama romanc raj meet simran europ isnt love first sight simran move india arrang marriag love make presenc felt aditya chopra shah rukh khan kajol amrish puri farida jalal
kill,2023,action adventur drama follow passeng train new delhi train soon becom combat battleground pair commando face armi invad bandit nikhil nagesh bhat lakshya raghav juyal tanya maniktala abhishek chauhan
october,2018,drama romanc group intern go usual grind suddenli accid chang live protagonist cant get let go becom obsess lead love someth els shoojit sircar kuran dhillon varun dhawan banita sandhu gitanjali rao sahil vedoliyaa
an action hero,2022,action comedi crime youth icon superstar action hero age 30 maanav peak career got caught accid film haryana maanav household name live hide anirudh iyer ayushmann khurrana jaideep ahlawat neeraj madhav gautam joglekar
the vaccine war,2023,drama thriller base india battl covid19 effort medic depart took overcom global crisi vivek agnihotri nivedita bhattacharya anupam kher girija oak nana patekar
jab we met,2007,comedi drama romanc depress wealthi businessman find life chang meet spunki carefre young woman imtiaz ali shahid kapoor kareena kapoor tarun arora dara singh randhawa
k.g.f: chapter 1,2018,action crime drama 1970 gangster name rocki goe undercov slave assassin owner notori gold mine known kgf prashanth neel yash srinidhi shetti ramachandra raju archana joi
mimi,2021,comedi drama mimi introduc bhanu american coupl surrog exchang rs 2 million decid babi even chang mind tell parent bhanu father rajesh bhatia laxman utekar kriti sanon evelyn edward pankaj tripathi sai tamhankar
afwaah,2023,drama thriller advertis profession polit heiress whose live upend viral social media rumour sudhir mishra nawazuddin siddiqui tj bhanu bhumi pednekar eisha chopra
godfather,2022,action crime drama death polit leader mysteri man step ascend throne mohan raja chiranjeevi salman khan nayanthara satyadev kancharana
laila majnu,2018,drama romanc take leap classic folklor stori set today time kashmir laila majnu problem relev youth today deal feud famili passion love stori unravel sajid ali avinash tiwari triptii dimri sumit kaul abrar qazi
ghajini,2008,action drama mysteri shortterm memori loss patient goe kill spree order aveng death ladylov ar murugadoss aamir khan asin thottumk jiah khan aamir naik
jab harry met sejal,2017,comedi drama romanc depress middleag tour guid live bubbl get anoth chanc experi face realiti chirpi girl imtiaz ali shah rukh khan anushka sharma björn freiberg bruce huther
barfi!,2012,comedi drama romanc three young peopl learn love neither defin contain societi definit normal abnorm anurag basu ranbir kapoor priyanka chopra jona ileana dcruz saurabh shukla
mumbai meri jaan,2008,drama move portray 2006 train bomb mumbai indian drama follow interconnect stori sever stranger nishik kamat paresh rawal kay kay menon irrfan khan madhavan
ludo,2020,action comedi crime resurfac sex tape rogu suitcas money four wildli differ stori overlap whim fate chanc one eccentr crimin anurag basu pankaj tripathi abhishek bachchan rajkummar rao fatima sana shaikh
haider,2014,action crime drama young man return kashmir father disappear confront uncl suspect play role father fate vishal bhardwaj shahid kapoor tabu shraddha kapoor kay kay menon
mission majnu,2023,action drama histori 1970 undercov indian spi take deadli mission expos covert nuclear weapon program heart pakistan shantanu bagchi sidharth malhotra rashmika mandanna parmeet sethi zakir hussain
talaash,2012,crime drama mysteri inspector surjan shekhawat deal depress past investig high profil murder case deal crumbl marriag use help solac prostitut name rosi reema kagti priyamvada narayanan aamir khan kareena kapoor rani mukerji nawazuddin siddiqui
ae dil hai mushkil,2016,drama music music stori explor love shape take way chang us exhilar often terrifi ride take us journey two charact alizeh ayan navig life love heartbreak karan johar ranbir kapoor aishwarya rai bachchan anushka sharma fawad khan
a wednesday,2008,action crime drama retir polic offic reminisc astound day career case never file continu haunt memori case man wednesday neeraj pandey anupam kher naseeruddin shah veerendra saxena mahesh kanual
wajah tum ho,2016,drama mysteri romanc peopl get entangl mysteri murder commit live televis vishal pandya sharman joshi sana khan gurmeet choudhari rajneesh duggal
raazi,2018,action drama thriller kashmiri woman agre marri pakistani armi offic order spi pakistan indopakistan war 1971 meghna gulzar alia bhatt vicki kaushal rajit kapoor shishir sharma
dil chahta hai,2001,comedi drama romanc three insepar childhood friend colleg noth come fall love wildli differ approach relationship creat tension farhan akhtar aamir khan saif ali khan akshay khanna preiti g zinta
bye2,2020,drama romanc stori boy girl relationship chang period life hard say bye sometim want end relationship tanveer hashmi bhushan karan vipin singh shreya tyagi
darlings,2022,comedi drama thriller follow live two women find courag love except circumst jasmeet k reen alia bhatt shefali shah vijay varma roshan mathew
runway 34,2022,drama thriller inspir true incid runway 34 revolv around captain vikrant khanna play ajay devgn fli prodigi whose flight take mysteri cours takeoff intern destin ajay devgn ajay devgn amitabh bachchan rakul preet singh carryminati
masaan,2015,drama along india gang river four peopl face prejudic strict moral code punish cast system confront person tragedi neeraj ghaywan richa chadha sanjay mishra vicki kaushal pankaj tripathi
sanju,2018,biographi comedi drama biopic controversi life actor sanjay dutt film career jail sentenc person life rajkumar hirani ranbir kapoor paresh rawal manisha koirala vicki kaushal
govinda naam mera,2022,comedi crime drama charm govinda waghmar juggl time love wife mr waghmar girlfriend dose chao confus laughter shashank khaitan vicki kaushal kiara advani bhumi pednekar renuka shahan
rockstar,2011,drama music romanc janardhan jakhar chase dream becom big rock star fall love heer imtiaz ali ranbir kapoor nargi fakhri shammi kapoor kumud mishra
mom,2017,crime drama thriller daughter sexual assault parti furiou mother set destroy live four perpetr walk away free ravi udyawar sridevi sajal ali akshay khanna adnan siddiqui
kalank,2019,drama romanc live six enigmat charact becom entangl whilst search love separ dichotomi two world husnabad town north india abhishek varman alia bhatt kiara advani sanjay dutt kriti sanon
article 15,2019,crime drama mysteri rural heartland india upright polic offic set crusad violent castebas crime discrimin anubhav sinha ayushmann khurrana nassar manoj pahwa kumud mishra
lust stories,2018,drama romanc four short film four india biggest director explor love sex relationship modern india zoya akhtar dibakar banerje karan johar anurag kashyap kiara advani vicki kaushal bhumi pednekar neil bhoopalam
shehzada,2023,action comedi drama bantu hate father valmiki sinc toddler samara boss show affect love discov jindal parent bantu decid seek jindal love protect threat face rohit dhawan kartik aaryan kriti sanon paresh rawal manisha koirala
zero,2018,comedi drama romanc stori revolv around bauua singh shah rukh khan vertic challeng man full charm wit pinch arrog born wealthi famili rais environ affluenc challeng broaden horizon find purpos life aanand l rai shah rukh khan anushka sharma katrina kaif mohd zeeshan ayyub
a thursday,2022,drama thriller naina playschool teacher take 16 student hostag rattl polic leader demand send shockwav countri behzad khambata yami gautam atul kulkarni neha dhupia dimpl kapadia
rang de basanti,2006,comedi crime drama stori six young indian assist english woman film documentari freedom fighter past event lead reliv longforgotten saga freedom rakeysh omprakash mehra aamir khan soha ali khan siddharth sharman joshi
rocketry: the nambi effect,2022,biographi drama base life indian space research organ scientist nambi narayanan frame spi arrest 1994 though free continu fight justic offici fals implic madhavan madhavan simran rajit kapoor ravi raghavendra
dilwale,2015,action comedi drama sibl two estrang lover fall unawar violent past drove apart rohit shetti shah rukh khan kajol varun dhawan kriti sanon
jug jugg jeeyo,2022,comedi drama famili two coupl differ gener confront issu marriag raj mehta varun dhawan anil kapoor kiara advani neetu singh
gully boy,2019,drama music romanc comingofag stori base live street rapper mumbai zoya akhtar ranveer singh alia bhatt siddhant chaturvedi vijay raaz
chennai express,2013,action comedi drama man travel rameshwaram via chennai express order immers late grandfath ash find troubl help don daughter cousin board train rohit shetti deepika padukon shah rukh khan sathyaraj nikitin dheer
war,2019,action adventur thriller indian agent khalid goe mission hunt elimin former mentor countri top agent kabir gone rogu deadli war begin siddharth anand hrithik roshan tiger shroff vaani kapoor ashutosh rana
shershaah,2021,action biographi drama shershaah stori pvc awarde indian soldier capt vikram batra whose braveri unflinch courag chase pakistani soldier indian territori contribut immens india final win kargil war 1999 vishnuvardhan sidharth malhotra kiara advani shiv panditt pranay pachauri
student of the year 2,2019,action comedi drama student must face bulli overcom hurdl academ romant win colleg covet student year trophi punit malhotra tiger shroff ananya panday tara sutaria aditya seal
qala,2022,drama music haunt past talent singer rise career cope pressur success mother disdain voic doubt within anvita dutt triptii dimri babil khan swastika mukherje amit sial
talvar,2015,crime drama mysteri experienc investig confront sever conflict theori perpetr violent doubl homicid meghna gulzar irrfan khan konkona sen sharma neeraj kabi sohum shah
kuttey,2023,action comedi crime van carri crore cash one raini night outskirt mumbai unawar three stray gang cross path hunt unfortun plan bite bone lose greed aasmaan bhardwaj tabu arjun kapoor naseeruddin shah konkona sen sharma
fukrey 3,2023,comedi crime drama friend face disastr funni situat togeth other back trench make new mess time mrighdeep lamba pankaj tripathi farhan akhtar richa chadha pulkit samrat
dangerous,2022,action crime drama danger stori two women bad experi men due cours passion fall love film stori proce violent fight see full summari » ram gopal varma naina ganguli rajpal naurang yadav mithun purandar apsara rani
bang bang,2014,action adventur comedi young bank receptionist get mix rajveer nanda man mysteri background siddharth anand hrithik roshan katrina kaif pawan malhotra danni denzongpa
hey ram,2000,crime drama histori saketh ram wife rape kill direct action day riot calcutta convinc mahatma gandhi respons problem happen countri set kill kamal haasan kamal haasan shah rukh khan rani mukerji hema malini
83,2021,biographi drama histori june 25 1983 lord cricket ground wit 14 men beat two time world champion west indi put india back onto cricket world stage kabir khan ranveer singh deepika padukon tahir raj bhasin jiiva
