movie_name,year,tags
kaun?,1999,"mystery thriller while alone in the house, a woman hears news of serial killer on the loose. and then a stranger rings the doorbell... ram gopal varma urmila matondkar manoj bajpayee sushant singh "
dear zindagi,2016,"drama romance kaira is a budding cinematographer in search of a perfect life. her encounter with jug, an unconventional thinker, helps her gain a new perspective on life. she discovers that happiness is all about finding comfort in life's imperfections. gauri shinde alia bhatt shah rukh khan kunal kapoor priyanka moodley "
chhichhore,2019,"comedy drama romance a tragic incident forces anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers. nitesh tiwari sushant singh rajput shraddha kapoor varun sharma prateik patil babbar "
freddy,2022,drama mystery romance the lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns. shashanka ghosh kartik aaryan alaya f karan pandit sajjad delafrooz 
yeh jawaani hai deewani,2013,"comedy drama musical kabir and naina bond during a trekking trip. before naina can express herself, kabir leaves india to pursue his career. they meet again years later, but he still cherishes his dreams more than bonds. ayan mukerji ranbir kapoor deepika padukone aditya roy kapoor kalki koechlin "
sir,2018,"drama romance a prosperous young indian man falls in love with his servant, a widow with the dream of becoming a fashion designer. rohena gera tillotama shome vivek gomber geetanjali kulkarni rahul vohra "
mrs. chatterjee vs. norway,2023,biography drama an immigrant indian mother's battle against the norwegian foster care system and local legal machinery to win back the custody of her children. ashima chibber rani mukerji jim sarbh bodhisattwa majumdar saswati guhathakurta 
munna bhai m.b.b.s.,2003,comedy drama a gangster sets out to fulfill his father's dream of becoming a doctor. rajkumar hirani sanjay dutt arshad warsi gracy singh boman irani 
fan,2016,action drama thriller gaurav's world revolves around the superstar aryan khanna. what happens when his passion turns into a dangerous obsession that crosses the fine line? maneesh sharma shah rukh khan shriya pilgaonkar sayani gupta waluscha d'souza 
welcome to the jungle,2024, police officers jay bakshi and sandhya have been given task to track down notorious criminal raj solanki. things take an unexpected turn when jay finds out that raj plays a significant role in his life. ahmed khan akshay kumar sanjay dutt disha patani jacqueline fernandez 
vikram vedha,2017,"action crime drama vikram, a no-nonsense police officer, accompanied by simon, his partner, is on the hunt to capture vedha, a smuggler and a murderer. vedha tries to change vikram's life, which leads to a conflict. gayatri, pushkar, gowtham selvaraj madhavan vijay sethupathi shraddha srinath kathir "
lagaan: once upon a time in india,2001,drama musical sport the people of a small village in victorian india stake their future on a game of cricket against their ruthless british rulers. ashutosh gowariker aamir khan raghubir yadav gracy singh rachel shelley 
trial period,2023,comedy drama a working single mother's world turns upside down when her inquisitive son demands a new papa on a 30-day 'trial period'. aleya sen genelia deshmukh manav kaul shakti kapoor sheeba chaddha 
kathal: a jackfruit mystery,2023,comedy crime drama a local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself. yashowardhan mishra sanya malhotra joshi anantvijay vijay raaz rajpal naurang yadav 
sardar udham,2021,"biography crime drama a biopic detailing the 2 decades that punjabi sikh revolutionary, udham singh, spent planning the assassination of the man responsible for the jallianwala bagh massacre. shoojit sircar vicky kaushal shaun scott stephen hogan amol parashar "
kisi ka bhai kisi ki jaan,2023,"action comedy drama the eldest brother refuses to marry since he believes it may create disharmony in his big family. his brothers, who've already found partners, come together to find a match for him. farhad samji salman khan pooja hegde venkatesh daggubati jagapathi babu "
king of kotha,2023,"action drama thriller in a crime-infested town, kannan bhai and his gang are the reigning powers. to combat this reign and seek revenge, inspector shahul tactfully plots the return of the 'king', leading to a transformative turn of events. abhilash joshiy dulquer salmaan aishwarya lekshmi soubin shahir ritika singh "
ek tha tiger,2012,"action adventure romance india's top spy tiger and his love zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy. mathur goswami, kabir khan salman khan katrina kaif girish karnad roshan seth "
hit: the first case,2022,"action crime drama vikram is a 32-year-old cop. while he is battling with his own traumatic past, the stakes get high when a girl called preethi mysteriously disappears in hyderabad and vikram has to solve the case at any cost. sailesh kolanu rajkummar rao sanya malhotra akhil iyer jatin goswami "
singham again,2024,drama plot under wraps. rohit shetty kareena kapoor deepika padukone akshay kumar ranveer singh 
the second best exotic marigold hotel,2015,"comedy drama romance as the best exotic marigold hotel has only a single remaining vacancy, posing a rooming predicament for two fresh arrivals, sonny kapoor (dev patel) pursues his expansionist dream of opening a second hotel. john madden judi dench maggie smith bill nighy dev patel "
dilwale dulhania le jayenge,1995,"drama romance when raj meets simran in europe, it isn't love at first sight but when simran moves to india for an arranged marriage, love makes its presence felt. aditya chopra shah rukh khan kajol amrish puri farida jalal "
kill,2023,action adventure drama follows a passenger on a train to new delhi. the train soon becomes a combat battleground as a pair of commandos face an army of invading bandits. nikhil nagesh bhat lakshya raghav juyal tanya maniktala abhishek chauhan 
october,2018,"drama romance a group of interns are going through the usual grind when suddenly an accident changes their lives. the protagonist can't get let go of it and becomes obsessed with it. what does it all lead to? is it love or something else? shoojit sircar, kuran dhillon varun dhawan banita sandhu gitanjali rao sahil vedoliyaa "
an action hero,2022,"action comedy crime youth icon. superstar. action hero. at the age of just 30, maanav was at the peak of his career when he got caught up in an accident while filming in haryana. maanav, who was once a household name, is now living in hiding. anirudh iyer ayushmann khurrana jaideep ahlawat neeraj madhav gautam joglekar "
